"iid","nid","tid","parent_iid"
"987","539","2315",NULL
"988","100121","3645",NULL
"989","100447","3559",NULL
"990","709","1016",NULL
"991","57559","788",NULL
"1378","137704","4102",NULL
"993","1165","180",NULL
"994","131","496",NULL
"995","878","1602",NULL
"996","43770","2922",NULL
"997","785","1603",NULL
"998","386","982",NULL
"999","760","1642",NULL
"1000","944","1109",NULL
"1001","84889","2335",NULL
"1002","1342","707",NULL
"1003","846","1592",NULL
"1004","104235","2925",NULL
"1005","4666","1356",NULL
"1006","41604","236",NULL
"1007","1256","2609",NULL
"1008","41923","3667",NULL
"1009","1422","4",NULL
"1010","59856","3531",NULL
"1011","4604","587",NULL
"1012","1589","1281",NULL
"1013","3182","3685",NULL
"1014","540","3634",NULL
"1015","1119","1204",NULL
"1016","47838","1430",NULL
"1017","1692","498",NULL
"1018","59857","3563",NULL
"1019","1275","709",NULL
"1020","4729","588",NULL
"1021","280","499",NULL
"1022","1554","2460",NULL
"1023","1653","2924",NULL
"1024","1000","1138",NULL
"1025","94090","3160",NULL
"1026","95001","1231",NULL
"1027","671","500",NULL
"1028","5370","711",NULL
"1029","44595","1282",NULL
"1030","186","501",NULL
"1031","1298","712",NULL
"1032","66334","1191",NULL
"1033","801","320",NULL
"1034","1223","2570",NULL
"1035","60910","3197",NULL
"1036","1312","713",NULL
"1037","1317","714",NULL
"1038","66335","1213",NULL
"1039","4740","558",NULL
"1040","685","2574",NULL
"1041","100379","3571",NULL
"1042","109","967",NULL
"1043","941","2376",NULL
"1044","99922","3712",NULL
"1045","5117","2292",NULL
"1046","44880","3168",NULL
"1047","635","1018",NULL
"1048","1250","715",NULL
"1049","5259","716",NULL
"1050","644","1019",NULL
"1051","61970","2911",NULL
"1052","357","3532",NULL
"1053","1179","183",NULL
"1054","393","3402",NULL
"1055","272","504",NULL
"1056","56299","2766",NULL
"1057","1720","1760",NULL
"1058","645","1020",NULL
"1059","959","1042",NULL
"1060","555","2316",NULL
"1061","90957","3490",NULL
"1062","325","1158",NULL
"1063","65767","3106",NULL
"1064","218","288",NULL
"1065","44065","505",NULL
"1066","5494","1485",NULL
"1067","96412","3619",NULL
"1068","1280","718",NULL
