"id_discipline","id_dep","discipline"
"8055","4301","История правовых учений"
"6846","4087778","История психологии"
"8732","3879","История радиофизических научных школ в Росиии"
"7587","4301","История России"
"7564","4301","История России до XX в."
"8118","3964","История российских университетов"
"3860","4265","История российского ТВ и радио"
"2931","4087774","История русского языка"
"2927","4087774","История русской литературы"
"6568","3920","История русской философии"
"7566","4301","История Саратовского края"
"3094","4087769","История Саратовского театрального искусства"
"7658","4301","История сервиса"
"6567","3920","История современной западной философии"
"7549","4301","История современной России"
"6337","4047","История социально-политических учений"
"4200","4087768","История социальной педагогики "
"6336","4047","История социальной работы"
"6338","4047","История социологии"
"3267","4087770","История специального образования"
"8064","4301","История средних веков"
"7664","4301","История стилей в искусстве"
"3868","4265","История страны (I) изучаемого языка"
"3850","4265","История страны (II) изучаемого языка"
"3070","4087769","История театра"
"3082","4087769","История театральной критики"
"9767","4087776","История техники и технологической культуры мировых цивилизаций"
"1946","3952","История физики"
"5257","3879","История физического факультета СГУ"
"4267","4087768","История физической культуры"
"3864","4265","История философии"
"6563","3920","История философии средних веков и Возрождения"
"3851","4265","История художественного кино"
"7807","4301","История художественной критики"
"6640","3920","История художественной культуры средних веков и Возрождения"
"3920","4087768","История языка"
"2149","4087763","Источники питания средств вычислительной техники"
"7798","4301","Источниковедение"
"7141","4349","Картоведение"
"7131","4349","Картографический метод исследования"
"1288","4087764","Картография"
"7182","4349","Картография с основами топографии"
"6100","4087765","Качественные и количественные методы в психологии"
"9768","4087776","Качественные и количественные методы психологических и педагогических исследований"
"6908","4087778","Качественные и количественные методы психолого-педагогических исследований"
"4670","3879","Квалификационная работа бакалавра: структура и критерии"
"1618","3952","Квантовая и оптическая электроника"
"1776","3952","Квантовая механика"
"2412","3935","Квантовая радиофизика"
"1898","3952","Квантовая теория"
"8852","3879","Квантовая теория поля"
"1833","3952","Квантовая теория твердого тела"
"4495","3879","Квантовая химия"
"5176","3879","Классическая и квантовая механика в биофизике "
"7888","4301","Классические языки"
"7282","4349","Климат города"
"9769","4087776","Клиника интеллектуальных нарушений"
"6139","4087765","Клиническая психология"
"6899","4087778","Клиническая психология детей и подростков"
"6060","4087765","Клиническая психология: Введение в клиническую психологию"
"6061","4087765","Клиническая психология: Нейропсихология"
"6062","4087765","Клиническая психология: Психопатология и патопсихология"
"3256","4087770","Клинические основы интеллектуальных нарушений"
"6126","4087765","Когнитивные основы организационной психологии"
"2499","3935","Колебания и волны в нелинейных активных средах"
"3819","4265","Количественные методы в филологии"
"1626","3952","Коллоидная химия"
"10861","4204","Комбинаторные алгоритмы"
"3769","4265","Коммуникативный практикум по основному иностранному языку"
"9577","3822","Коммуникационный менеджмент"
"8497","3879","Комп технологии в науке и обр-нии"
"7509","4301","Компаративная история"
"1662","3952","Компьютер в физической лаборатории"
"8513","3879","Компьютерная верстка естественно-научных текстов"
"6995","4087775","КОМПЬЮТЕРНАЯ ГРАФИКА"
"1289","4087764","Компьютерная графика"
"10316","3831","Компьютерная практика"
"7828","4301","Компьютерное моделирование"
"5485","3879","Компьютерные методы сбора и обработки данных"
"5171","3879","Компьютерные программы вычислений и обработки экспериментальных данных"
"2102","4087763","Компьютерные сети"
"2136","4087763","Компьютерные сети и телекоммуникации"
"5677","3879","Компьютерные технологии"
"1809","3952","Компьютерные технологии в микро- и наноэлектронике"
"1813","3952","Компьютерные технологии в науке и образовании"
"1823","3952","Компьютерные технологии в научных исследованиях"
"10733","4204","Компьютерный практикум по механике"
"6343","4047","Конституционное право"
"9361","3822","Конституционные основы регулирования предпринимательской деятельности"
"9350","3822","Конституционные основы судебной власти в России"
"9777","4087776","Конструирование и технология швейных изделий"
"1557","3952","Конструкторско-технологическое обеспечение производства ЭВМ"
"6196","4087765","Консультативная и психотерапевтическая работа с детьми, пережившими сексуальное насилие"
"1542","3952","Конфликтология"
"8005","4301","Конфликтология в туризме"
"8353","3964","Концепции совр.естествозн."
"3901","4087768","Концепции современного естествознания"
